source,source_id,role,business_name,contact_name,phone,email,website,street,city,state,zip,address_full,services,inspection_status,usda_establishment_number,source_url,lat,lng,geocode_source
MAMP,mamp-589,processor,DENNISON MEAT LOCKER LLC,Dori Gregory,(507) 645-8734,,,109 Farm Rd,Dennison,MN,55018,"109 Farm Rd Dennison, MN 55018","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,44.414834,-92.984184,zip-centroid
MAMP,mamp-590,processor,DOMBROVSKI MEAT CO,Pat Dombrovski,(320) 968-6275,,,425 Dewey St.,Foley,MN,56329,"425 Dewey St. Foley, MN 56329",Wholesale,,,https://www.mamponline.com/membership/directory/,45.664615423952,-93.910501707741,census-exact
MAMP,mamp-1649,processor,DOUBLE D's CUSTOM PROCESSING,,218-928-8150,,,35878 422nd Place,Aitkin,MN,56431,"35878 422nd Place Aitkin, MN 56431",,,,https://www.mamponline.com/membership/directory/,46.531116757861,-93.734200714332,census-exact
MAMP,mamp-593,processor,ELLSWORTH LOCKER,Brian & Kathy Chapa,(507) 967-2544,,,317 S. Broadway st.,Ellsworth,MN,56129,"317 S. Broadway st. Ellsworth, MN 56129","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,43.518050466282,-96.018288394243,census-exact
MAMP,mamp-596,processor,FRABONI SAUSAGE CO,Don Johnson,(218) 208-2699,,,1202 13th Ave,E. Hibbing,MN,55746,"1202 13th Ave E. Hibbing, MN 55746","Custom , Online Sales , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,47.436656767148,-92.925877507633,census-approx
MAMP,mamp-598,processor,FRENCH LAKE BUTCHER SHOP,Randy & Kim Werner,(320) 286-5345,,,17497 37 NW,South Haven,MN,55382,"17497 County Rd 37 NW South Haven, MN 55382","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.300423,-94.199089,zip-centroid
MAMP,mamp-599,processor,GARFIELD PROCESSING,Richard Waldorf,(320) 834-3144,,,7236 82 NW,Garfield,MN,56332,"7236 County. Rd. 82 NW Garfield, MN 56332","Custom , Retail",,,https://www.mamponline.com/membership/directory/,45.967416,-95.506404,zip-centroid
MAMP,mamp-1651,processor,GLENCOE PORK CO.,,320-300-7975,,https://www.glencoeporkco.com/,3413 11th St,E Glencoe,MN,55336,"3413 11th St E Glencoe, MN 55336",,,,https://www.mamponline.com/membership/directory/,44.765194,-94.190404,zip-centroid
MAMP,mamp-600,processor,GRAND CHAMPION/FOLEY LOCKER,Kelly Gall,(320) 968-7267,,,6634 25 NE,Foley,MN,56329,"6634 HWY 25 NE Foley, MN 56329","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.709067,-93.914815,zip-centroid
MAMP,mamp-667,processor,GRAND MEADOW MEATS,Darlene Gruber,(320) 290-1350,,,105 Pine St.,Clearwater,MN,55320,"105 Pine St. Clearwater, MN 55320","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.417953423679,-94.046612746136,census-exact
MAMP,mamp-601,processor,GREELEY SMOKE HAUS AND MEATS,Bill Cort,(651) 261-8639,,,1677 Greeley Rd.,Braham,MN,55006,"1677 Greeley Rd. Braham, MN 55006","Deer , Online Sales , Retail",,,https://www.mamponline.com/membership/directory/,45.741456598734,-93.064016134125,census-exact
MAMP,mamp-603,processor,GREG'S MEAT PROCESSING,Greg & Sharon Endres,(507) 263-3373,,,6028 250th St.,Hampton,MN,55031,"6028 250th St. Hampton, MN 55031","Catering , Custom , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,44.586654748918,-92.982629175722,census-approx
MAMP,mamp-605,processor,HACKENMUELLER MEATS INC,Gordy Lindenfelser,(763) 537-4811,,,4159 W. Broadway,Robbinsdale,MN,55422,"4159 W. Broadway Robbinsdale, MN 55422",Retail,,,https://www.mamponline.com/membership/directory/,45.030748954472,-93.338836999607,census-approx
MAMP,mamp-1653,processor,HOMESTEAD BUTCHERING,,320-212-4722,,,48295 370th St,Sauk Centre,MN,56378,"48295 370th St Sauk Centre, MN 56378",,,,https://www.mamponline.com/membership/directory/,45.657592778402,-95.114711226928,census-exact
MAMP,mamp-609,processor,HUETTLS MEATS,H. James Huettl,(651) 345-3424,,,1903 N. Lakeshore Dr.,Lake City,MN,55041,"1903 N. Lakeshore Dr. Lake City, MN 55041","Deer , Retail",,,https://www.mamponline.com/membership/directory/,44.46403416917,-92.288311984839,census-exact
MAMP,mamp-610,processor,JENNIGES MEAT PROCESSING,Angela Jenniges,(320) 346-2414,,,131 Pleasant Ave N,Brooten,MN,56316,"131 Pleasant Ave N Brooten, MN 56316","Custom , Deer",,,https://www.mamponline.com/membership/directory/,45.501153026975,-95.123257428126,census-exact
MAMP,mamp-611,processor,K&S POULTRY AND MEATS,Klinton VanHeuveln,(320) 368-0112,,,1000 175th Ave SE,Kerkhoven,MN,56252,"1000 175th Ave SE Kerkhoven, MN 56252",Custom,,,https://www.mamponline.com/membership/directory/,45.183524892013,-95.25714710255,census-exact
MAMP,mamp-612,processor,KENYON MEATS,Dan Thomas,(507) 789-5417,,,116 Spring St,Kenyon,MN,55946,"116 Spring St Kenyon, MN 55946","Custom , Retail",,,https://www.mamponline.com/membership/directory/,44.272898031271,-92.988949964934,census-exact
MAMP,mamp-613,processor,KLINDER PROCESSING,Grant Bettermann,(320) 852-7742,,,11515 Klinder Lane NE,Carlos,MN,56319,"11515 Klinder Lane NE Carlos, MN 56319","Custom , Deer",,,https://www.mamponline.com/membership/directory/,46.004309221506,-95.227585887304,census-approx
MAMP,mamp-1655,processor,KONETZKO'S MEAT MARKET,,320-594-2915,,,516 Main St S,Browerville,MN,56438,"516 Main St S Browerville, MN 56438",,,,https://www.mamponline.com/membership/directory/,46.084468939906,-94.867328209655,census-exact
MAMP,mamp-615,processor,KRENIK'S MEAT PROCESSING,James Krenik,(507) 364-5154,,,10780 130th St,West Montgomery,MN,56069,"10780 130th St West Montgomery, MN 56069","Custom , Retail",,,https://www.mamponline.com/membership/directory/,44.399241527649,-93.479782346831,census-approx
MAMP,mamp-616,processor,LAKES AREA COOP./PERHAM LOCKER,Joe Roggenkamp,(218) 346-6245,,,346 E Main St,Perham,MN,56573,"346 E Main St Perham, MN 56573","Custom , Retail",,,https://www.mamponline.com/membership/directory/,46.592531729711,-95.57001338716,census-exact
MAMP,mamp-617,processor,LAKES PROCESSING,Sarah Bachmann,(218) 849-1802,,,18776 59,Detroit Lakes,MN,56501,"18776 US Highway 59 Detroit Lakes, MN 56501","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,46.844183639841,-95.862711318122,census-approx
MAMP,mamp-1657,processor,LAPORTE GROCERY & MEATS,,218-224-2202,,https://laportegroceryandmeats.com/,20 Main St,E Laporte,MN,56461,"20 Main St E Laporte, Minnesota 56461",,,,https://www.mamponline.com/membership/directory/,47.214420196734,-94.752363089936,census-approx
MAMP,mamp-618,processor,LEE'S LOCKER,Lee Henning,(507) 472-8525,,,170 S. 3rd Avenue,Lismore,MN,56155,"170 S. 3rd Avenue Lismore, MN 56155","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,43.749168404973,-95.947582908598,census-exact
MAMP,mamp-620,processor,LORENTZ MEATS,Rob & Mike Lorentz,(507) 263-3617,,,705 Cannon Industrial Blvd,Cannon Falls,MN,55009,"705 Cannon Industrial Blvd Cannon Falls, MN 55009","Private Label , Wholesale",,,https://www.mamponline.com/membership/directory/,44.541148804628,-92.911548674085,census-exact
MAMP,mamp-1659,processor,LOWRY HILL PROVISIONS,,612-978-4112,,https://www.lowryhillprovisions.com/,1401 Marshall St NE,Minneapolis,MN,55413,"1401 Marshall St NE Minneapolis, MN 55413",,,,https://www.mamponline.com/membership/directory/,45.001265855918,-93.270825930052,census-exact
MAMP,mamp-621,processor,MACKENTHUNS FINE FOODS,Kimberly Deering,(952) 442-5771,,,851 Marketplace Dr.,Waconia,MN,55387,"851 Marketplace Dr. Waconia, MN 55387",Retail,,,https://www.mamponline.com/membership/directory/,44.835856026358,-93.802980390017,census-exact
MAMP,mamp-622,processor,MAIN STREET MEATS,Jeff Berndt,(218) 732-1416,,,416 Main Ave S,Park Rapids,MN,56470,"416 Main Ave S Park Rapids, MN 56470","Catering , Custom , Retail",,,https://www.mamponline.com/membership/directory/,46.918774748846,-95.059896568645,census-exact
MAMP,mamp-623,processor,MANEA'S MEAT COMPANY,Alina Manea,(320) 253-8683,,,114 2nd Ave N,Sauk Rapids,MN,56379,"114 2nd Ave N Sauk Rapids, MN 56379",Retail,,,https://www.mamponline.com/membership/directory/,45.590696754498,-94.166183816813,census-exact
MAMP,mamp-624,processor,"McDONALD'S MEATS, INC.",Jennifer Dierkes,(320) 743-2311,,,8601 Main Ave.,Clear Lake,MN,55319,"8601 Main Ave. Clear Lake, MN 55319","Custom , Private Label , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,45.444430327036,-93.999278911182,census-exact
MAMP,mamp-625,processor,"MICHAEL'S MEATS, INC.",Brian Holmer,(218) 681-3140,,,224 Alantic Ave N,Thief River Falls,MN,56701,"224 Alantic Ave N Thief River Falls, MN 56701","Custom , Retail",,,https://www.mamponline.com/membership/directory/,48.118455314185,-96.176771000204,census-approx
MAMP,mamp-1661,processor,MIDWEST FOOD AND MEAT DISTRIBUTOR,,516-398-1553,,,5501 Opportunity Court,Minnetonka,MN,55417,"5501 Opportunity Court Minnetonka, MN 55417",,,,https://www.mamponline.com/membership/directory/,44.903435178932,-93.403934231275,census-approx
MAMP,mamp-626,processor,MILLS LOCKER PLANT,Whitman Briard,(218) 385-2875,,,104 E. Centennial 84 Dr.,New York Mills,MN,56567,"104 E. Centennial 84 Dr. New York Mills, MN 56567","Custom , Retail",,,https://www.mamponline.com/membership/directory/,46.517417806684,-95.374420876444,census-exact
MAMP,mamp-627,processor,MILTONA CUSTOM MEATS,Kristy Brackett,(218) 943-2681,,,242 2nd Ave.,West Miltona,MN,56354,"242 2nd Ave. West Miltona, MN 56354","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,46.047265210133,-95.297771514424,census-approx
MAMP,mamp-1663,processor,MINNESOTA MEATS & MARKETS,,320-352-6490,,,411 Sinclair Lewis Ave,Sauk Centre,MN,56378,"411 Sinclair Lewis Ave Sauk Centre, MN 56378",,,,https://www.mamponline.com/membership/directory/,45.737070723707,-94.950596208384,census-exact
MAMP,mamp-629,processor,MINNEWASKA MEATS,Eric Jensen,(320) 634-3143,,,11 SW First Ave.,Glenwood,MN,56334,"11 SW First Ave. Glenwood, MN 56334","Catering , Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.649266768316,-95.390256704659,census-approx
MAMP,mamp-1665,processor,MOBILE MEATS,,507-213-2071,,,,New Prague,MN,56071,"New Prague, MN 56071",,,,https://www.mamponline.com/membership/directory/,44.534971,-93.579431,zip-centroid
MAMP,mamp-630,processor,"NEIGHBORS MEATS, LLC",Dan Lewer,(507) 465-3888,,,202 Ash Ave. S.,New Richland,MN,56072,"202 Ash Ave. S. New Richland, MN 56072","Custom , Retail",,,https://www.mamponline.com/membership/directory/,43.892716292956,-93.49534961227,census-exact
MAMP,mamp-631,processor,NERSTRAND MEATS & CATERING,Mitch Ruchinka,(507) 334-5396,,,231 Main St,Nerstrand,MN,55053,"231 Main St Nerstrand, MN 55053","Catering , Custom , Retail",,,https://www.mamponline.com/membership/directory/,44.341800791139,-93.068320030548,census-exact
MAMP,mamp-633,processor,NICK'S MEATS,Ryan Brandt,(507) 373-8966,,,103 W. Front St.,Hayward,MN,56043,"103 W. Front St. Hayward, MN 56043","Custom , Retail",,,https://www.mamponline.com/membership/directory/,43.650165531557,-93.244351654093,census-exact
MAMP,mamp-634,processor,NORTH FORK CUSTOM MEATS LLC,Neal E. Wisch,(320) 543-2285,,,704 6th St,Howard Lake,MN,55349,"704 6th St Howard Lake, MN 55349","Custom , Retail",,,https://www.mamponline.com/membership/directory/,45.060729755412,-94.069041270379,census-exact
MAMP,mamp-637,processor,ODENTHAL MEATS INC.,Randy or Laura Odenthal,(507) 364-8040,,,18189 320th St,New Prague,MN,56071,"18189 320th St New Prague, MN 56071","Custom , Deer , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,44.485971808139,-93.628325715752,census-exact
MAMP,mamp-636,processor,ODY'S COUNTRY MEATS,Cody Koebke,(507) 346-2579,,,17643 121st Ave.,Spring Valley,MN,55975,"17643 121st Ave. Spring Valley, MN 55975","Catering , Custom , Retail",,,https://www.mamponline.com/membership/directory/,43.608736094099,-92.40946071529,census-exact
MAMP,mamp-638,processor,ORTY'S CUSTOM MEATS,Brian Ortloff,(218) 246-9922,,,31136 Co Rd 161,Deer River,MN,56636,"31136 Co Rd 161 Deer River, MN 56636","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,47.328582531733,-93.765571529402,census-exact
MAMP,mamp-639,processor,OWEN LOCKER PLANT,Rusty Jackson,(507) 356-8612,,,110 2nd St.NE Suite 200,Pine Island,MN,55963,"110 2nd St.NE Suite 200 Pine Island, MN 55963","Custom , Deer",,,https://www.mamponline.com/membership/directory/,44.205274736484,-92.646009635869,census-exact
MAMP,mamp-642,processor,PAUL & KATHY'S GROCERY,Paul Koetter,(320) 573-5050,,,129 N. Main St.,Upsala,MN,56384,"129 N. Main St. Upsala, MN 56384","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.810753685634,-94.571441557716,census-exact
MAMP,mamp-643,processor,PEP'S PORK,Scott Poepping,(320) 987-3368,,,29769 325TH Ave,Melrose,MN,56352,"29769 325TH Ave Melrose, MN 56352","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.55418186012,-94.787677740935,census-exact
MAMP,mamp-644,processor,"PETE'S MEATS & PROCESSING, INC.",Adam Franzen,(507) 523-2524,,,110 E. Main St.,Lewiston,MN,55952,"110 E. Main St. Lewiston, MN 55952","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,43.984300356408,-91.867048399737,census-approx
MAMP,mamp-645,processor,PETTY BROTHERS MEAT INC,Bob Petty,(320) 274-5615,,,320 Elm St,E Annandale,MN,55302,"320 Elm St E Annandale, MN 55302","Custom , Deer , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,45.259481704881,-94.119261763188,census-approx
MAMP,mamp-646,processor,PLANTENBERG'S MARKET INC.,Kyle Plantenberg,(320) 597-3620,,,36 Main St,W Richmond,MN,56368,"36 Main St W Richmond, MN 56368","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.454840715535,-94.521348144888,census-approx
MAMP,mamp-649,processor,RIEDER MEAT MARKET,Laurence Rieder,(763) 972-2261,,,150 River St.,Delano,MN,55328,"150 River St. Delano, MN 55328","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.033416,-93.813687,zip-centroid
MAMP,mamp-2052,processor,RIVERSIDE MEATS AND PROCESSING,Josh Johnson,320-547-0046,,,33850 210th St,Culdrum Township,MN,56382,"33850 210th St Culdrum Township, Minnesota 56382","Custom , Deer",,,https://www.mamponline.com/membership/directory/,45.933096346973,-94.663004085716,census-approx
MAMP,mamp-651,processor,ROELOFS MEATS INC.,Travis Roelofs,(320) 967-4276,,,310 Spicer Ave N,Raymond,MN,56282,"310 Spicer Ave N Raymond, MN 56282",Custom,,,https://www.mamponline.com/membership/directory/,45.016755616058,-95.23971564589,census-exact
MAMP,mamp-653,processor,SCHMIDT'S MEAT MARKET INC.,Ryan Schmidt,(507) 232-3438,,,319 Pine St.,Nicollet,MN,56074,"319 Pine St. Nicollet, MN 56074","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,44.275801347767,-94.187724100061,census-exact
MAMP,mamp-654,processor,SCHNEIDER CUSTOM MEATS,Steve Schneider,(612) 968-7280,,,73741 Jensen Rd,Askov,MN,55704,"73741 Jensen Rd Askov, MN 55704","Custom , Deer",,,https://www.mamponline.com/membership/directory/,46.26451509665,-92.78264215959,census-exact
MAMP,mamp-656,processor,SCHRUPPS MEAT & SEAFOOD,Barry Gottwald,(320) 243-3793,,,216 W. James St.,Paynesville,MN,56362,"216 W. James St. Paynesville, MN 56362","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.382193404304,-94.7160746745,census-approx
MAMP,mamp-657,processor,SCOT KUESTER,Scot Kuester,(507) 276-8679,,,,Winthrop,MN,55396,"Winthrop, MN 55396",,,,https://www.mamponline.com/membership/directory/,44.544829,-94.3669,zip-centroid
MAMP,mamp-658,processor,SOUTH FORTY MEAT MARKET,Rich Fiene,(507) 747-3222,,,103 Main St.,Lucan,MN,56255,"103 Main St. Lucan, MN 56255","Custom , Retail",,,https://www.mamponline.com/membership/directory/,44.389516,-95.420958,zip-centroid
MAMP,mamp-659,processor,ST. JOSEPH MEAT MARKET INC.,Harvey Pfannenstein,(320) 363-4913,,,26 1st Ave. NW,St. Joseph,MN,56374,"26 1st Ave. NW St. Joseph, MN 56374","Custom , Deer , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,45.565206406238,-94.320037868255,census-exact
MAMP,mamp-660,processor,STEVE'S MEAT MARKET INC.,Rachael Lee,(507) 684-2331,,,210 5th Ave.,Ellendale,MN,56026,"210 5th Ave. Ellendale, MN 56026","Custom , Deer , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,43.873051468531,-93.301098788735,census-approx
MAMP,mamp-661,processor,STINSONS' COUNTRY STYLE MEATS,Michelle Stinson,(507) 896-2111,,,402 W. Cedar St.,Houston,MN,55943,"402 W. Cedar St. Houston, MN 55943","Custom , Retail",,,https://www.mamponline.com/membership/directory/,43.763236449944,-91.564438265035,census-approx
MAMP,mamp-662,processor,STOKKE'S MEATS,Jon Vanderscheuren,(218) 729-7156,,,4019 Canosia Rd,Cloquet,MN,55720,"4019 Canosia Rd Cloquet, MN 55720","Deer , Retail",,,https://www.mamponline.com/membership/directory/,46.802318375856,-92.364706358144,census-exact
MAMP,mamp-663,processor,THE BBQ SMOKEHOUSE,Tyler Ehrmantraut,(218) 632-6666,,,,Motley,MN,56466,"Motley, MN 56466","Catering , Retail",,,https://www.mamponline.com/membership/directory/,46.436002,-94.624955,zip-centroid
MAMP,mamp-1667,processor,THE BUTCHER BLOCK,,320-224-8553,,,68101 195th St,Darwin,MN,55324,"68101 195th St Darwin, MN 55324",,,,https://www.mamponline.com/membership/directory/,45.030876562348,-94.397963960022,census-exact
MAMP,mamp-664,processor,THE BUTCHERY OF MAPLE LAKE,Doug Lindenfelser,(320) 963-6677,,,308 55 W.,Maple Lake,MN,55358,"308 Hwy. 55 W. Maple Lake, MN 55358","Catering , Custom , Retail",,,https://www.mamponline.com/membership/directory/,45.244875,-93.997675,zip-centroid
MAMP,mamp-665,processor,THIELEN MEATS OF L. F.,Jessica Thielen,(320) 632-2821,,,300 13th St NE,Little Falls,MN,56345,"300 13th St NE Little Falls, MN 56345","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.976805277396,-94.342114784964,census-exact
MAMP,mamp-668,processor,TIKE'S TROPHY SAUSAGE,Tike Sutherland,(218) 259-9202,,,20523 Co. Rd. 459,Cohasset,MN,55721,"20523 Co. Rd. 459 Cohasset, MN 55721","Custom , Deer , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,47.17513922019,-93.661248306632,census-exact
MAMP,mamp-670,processor,V & M LOCKER & GROCERY,Chad Ruiter,(507) 443-5372,,,11670 110th St.,Leota,MN,56153,"11670 110th St. Leota, MN 56153","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,43.826383,-96.024232,zip-centroid
MAMP,mamp-669,processor,VON HANSON'S MEATS,Tony VonBank,(952) 431-2807,,,14540 Pennock Ave. STE 105,Apple Valley,MN,55124,"14540 Pennock Ave. STE 105 Apple Valley, MN 55124","Deer , Online Sales , Retail",,,https://www.mamponline.com/membership/directory/,44.738174898731,-93.222735920576,census-exact
MAMP,mamp-671,processor,WASECA MORGANS MEAT MARKET,Dean Morgan,(507) 835-1970,,,1100 2nd St NW,Waseca,MN,56093,"1100 2nd St NW Waseca, MN 56093","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,44.088452885412,-93.508845989026,census-exact
MAMP,mamp-672,processor,WICK'S MEAT SHOPPE,Cody & Jessica Madsen,(320) 382-6195,,,209 N. 4th St.,Kandiyohi,MN,56251,"209 N. 4th St. Kandiyohi, MN 56251","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.143721,-94.920174,zip-centroid
MAMP,mamp-487,supplier,"A.C. LEGG, INC.",,,,,,,,,,,,,https://www.mamponline.com/membership/directory/,,,
MAMP,mamp-488,supplier,"ALS FOOD SAFETY, LLC.",,,,,,,,,,,,,https://www.mamponline.com/membership/directory/,,,
MAMP,mamp-489,supplier,"ANDERSON PRODUCE, INC.",,,,,,,,,,,,,https://www.mamponline.com/membership/directory/,,,
MAMP,mamp-490,supplier,BISON FOOD EQUIPMENT SERVICE INC.,,,,,,,,,,,,,https://www.mamponline.com/membership/directory/,,,
MAMP,mamp-491,supplier,BRITZ STORE EQUIPMENT,,,,,,,,,,,,,https://www.mamponline.com/membership/directory/,,,
MAMP,mamp-492,supplier,BUNZL PROCESSOR DIVISION,,,,,,,,,,,,,https://www.mamponline.com/membership/directory/,,,
MAMP,mamp-493,supplier,CARLSON & STEWART REFRIGERATION,,,,,,,,,,,,,https://www.mamponline.com/membership/directory/,,,
MAMP,mamp-494,supplier,CENTRAL BI-PRODUCTS,,,,,,,,,,,,,https://www.mamponline.com/membership/directory/,,,
