name,city,state,phone,website,source
El Salchichero,Santa Cruz,CA,831-423-6328,elsalchichero.com,assoc:CA
Eureka Sausage Inc.,North Hollywood,CA,818-752-7880,eurekasausage.com,assoc:CA
Eureka Wholesale Meats,Eureka,CA,707-443-5659,,assoc:CA
Exeter Meats,Exeter,CA,559-592-5880,exeter-meats.com,assoc:CA
Ferndale Meat Co.,Ferndale,CA,707-599-5273,ferndale-meat-co.edan.io,assoc:CA
Five Mary's Custom Meats Co.,Fort Jones,CA,530-593-7429,fivemarysfarm.com,assoc:CA
Freedom Locker,Freedom,CA,831-724-4355,freedommeatlockers.com,assoc:CA
Fresno State (Meats Lab),Fresno,CA,559-278-3921,,assoc:CA
"Geiger's Long Valley Market, Inc.",Laytonville,CA,707-984-6911,,assoc:CA
Gillum Family Farms,Fresno,CA,559-289-2045,,assoc:CA
Giovannoni Meat Co. Inc.,Napa,CA,707-253-2480,brownsvalleymeat.com,assoc:CA
Golden Gate Meat Co,Richmond,CA,415-861-3800,,assoc:CA
Green Frog Meat Company,Shafter,CA,661-809-6472,,assoc:CA
Hottinger Family Meats,Chino,CA,909-628-2568,hottingerfamilymeats.com,assoc:CA
House of Beef,Oakdale,CA,209-847-5991,houseofbeefoakdale.com,assoc:CA
Jerky Time,Chico,CA,408-489-7201,,assoc:CA
JR Meat Company,Porterville,CA,559-781-3792,jrmeatcompany.com,assoc:CA
Keith's Family Food Center,Covelo,CA,707-983-6633,,assoc:CA
Kent's Meats & Groceries,Redding,CA,530-365-4322,kentsmeats.com,assoc:CA
Lemoore Food Locker,Lemoore,CA,559-924-2390,lemoore-food-locker.hub.biz,assoc:CA
Long Ranch Inc.,Ripon,CA,209-823-5515,thelongranch.com,assoc:CA
Marble Mountain Meats,Salinas,CA,831-269-7270,marblemountainmeats.com,assoc:CA
Orland Meat Processing,Orland,CA,530-865-7383,facebook.com/OrlandMeatProcessors,assoc:CA
Panizzera Meat Co,Occidental,CA,707-874-9770,,assoc:CA
"Ralph's Ranches, Inc.",Fall River Mills,CA,530-336-6667,pratherranch.com,assoc:CA
Ramey Meats & Locker Service,Brawley,CA,760-344-4420,rameysmeats.com,assoc:CA
Raven Brand Products (Armona Food Locker),Armona,CA,559-584-3948,ravenjerky.com,assoc:CA
Rawhide Meat,Jamestown,CA,209-984-5814,,assoc:CA
Sanders Meat & Locker,Turlock,CA,209-634-7525,sandersmeatservice.com,assoc:CA
Schaub's Meat & Fish-Poultry,Palo Alto,CA,650-325-6328,,assoc:CA
Scottie's Gourmet Meats,Redding,CA,509-780-2876,,assoc:CA
Sinton & Sons Local Meats & Provisions,Paso Robles,CA,805-801-7317,sintonandsons.com,assoc:CA
Spring Valley Smoked Turkey,Corona,CA,,,assoc:CA
Star Meats,Berkeley,CA,510-652-7712,star-meats.com,assoc:CA
Stater Brothers,Hemet,CA,951-663-9097,,assoc:CA
Swingle Meat Company,Jackson,CA,209-223-0731,swinglemeat.com,assoc:CA
TAM Bien Wholesale Corp,Santa Ana,CA,,tambienmarket.com,assoc:CA
The Wurst Meat Shop,,CA,480-298-8057,,assoc:CA
Tony's Custom Meats,Red Bluff,CA,530-527-2351,,assoc:CA
Tulare Locker,Tulare,CA,559-358-0628,tularemeatlockerandsausage.com,assoc:CA
UC Davis (Meat Lab),Davis,CA,530-752-7410,,assoc:CA
Wagon Wheel Market,Oroville,CA,530-589-1824,wagonwheelmarket.com,assoc:CA
Westside Locker,Tulare,CA,559-686-4676,westsidelockers.com,assoc:CA
Willey's Supermarket,Hayfork,CA,530-628-5646,,assoc:CA
Willowside Meats & Sausage,Santa Rosa,CA,707-546-8404,willowsideinc.com,assoc:CA
"Wolfsen Meat & Sausage, Inc.",Gustine,CA,209-854-6456,wolfsensausage.com,assoc:CA
Wookey Ranch,Chico,CA,530-343-2479,instagram.com/wookeyranch,assoc:CA
Zio Brand Inc.,Salinas,CA,831-277-3125,ziobrand.com,assoc:CA
5-R MOBILE SLAUGHTERING,Loma,CO,,,assoc:CO
A G P,Craig,CO,,,assoc:CO
ACTION TAXIDERMY & GAME PROCESSING,Gypsum,CO,,,assoc:CO
"ANDY'S MEAT MARKET, INC.",Colorado Springs,CO,,,assoc:CO
ARAPAHOE MEAT COMPANY,Lafayette,CO,,,assoc:CO
ASPEN LEAF BIG GAME PROCESSING,Somerset,CO,,,assoc:CO
AT'S MEATBLOCK,Nucla,CO,,,assoc:CO
ATLAS MEAT COMPANY,Fort Collins,CO,,,assoc:CO
Bear Creek Meat Processing LLC,Colorado Springs,CO,,,assoc:CO
Ben Weber,Wiley,CO,,,assoc:CO
Big E Market,Eckert,CO,,,assoc:CO
BOB'S PROCESSING,Trinidad,CO,,,assoc:CO
"Brother's Custom Processing, Inc.",Craig,CO,,,assoc:CO
Cannibal Canyon Custom Meat Processing,Marvel,CO,,,assoc:CO
COLE'S MEAT PROCESSING,PAGOSA SPRINGS,CO,,,assoc:CO
COLORADO HOMESTEAD RANCHES INC.,Delta,CO,,,assoc:CO
Crippen's Processing LLC,Lake George,CO,,,assoc:CO
CUSTOM QUALITY MEAT INC,Craig,CO,,,assoc:CO
D & M Meats,Fruita,CO,,,assoc:CO
"D & T FREEZER MEATS, INC",Loveland,CO,,,assoc:CO
Dan's Processing,Aguilar,CO,,,assoc:CO
DAVE'S CUSTOM CUTTING INC,Kiowa,CO,,,assoc:CO
Deer Trail Custom Cuts,Deer Trail,CO,,,assoc:CO
"Diamond D Processing, LLC",Yellow Jacket,CO,,,assoc:CO
DOLORES GAME PROCESSING,Dolores,CO,,,assoc:CO
"DOUBLE J MEAT PACKING, INC.",Pierce,CO,,,assoc:CO
Eagle Springs Organic LLC,Rifle,CO,,,assoc:CO
"EISELE FARMS, LLC",Longmont,CO,,,assoc:CO
ELEVATION MEAT MARKET LLC,Westcliffe,CO,,,assoc:CO
"ELIZABETH LOCKER PLANT, INC",Elizabeth,CO,,,assoc:CO
ELK RIVER CUSTOM MEATS,Steamboat Springs,CO,,,assoc:CO
F BAR CATERING & PROCESSING,Gunnison,CO,,,assoc:CO
FRANKS MEAT MARKET,Pueblo,CO,,,assoc:CO
GLYNN'S PROCESSING,Alamosa,CO,,,assoc:CO
Good's Processing,Montrose,CO,,,assoc:CO
GROSS LOCKER PLANT & CATTLE CO INC,Silt,CO,,,assoc:CO
"H & H, LLC",Meeker,CO,,,assoc:CO
HAMMER PACKING AND MEAT PROCESSING,Yampa,CO,,,assoc:CO
HAXTUN LOCKER PLANT,Haxtun,CO,,,assoc:CO
HENSCHEL'S MEAT PROCESSING,Kirk,CO,,,assoc:CO
"HENSLEY'S CUSTOM MEAT PROCESSING, LLC",Dove Creek,CO,,,assoc:CO
HI COUNTRY PACKING COMPANY,Durango,CO,,,assoc:CO
"Hilltop Market, LLC",Canon City,CO,,,assoc:CO
HOLY COW PACKING PLANT,Silt,CO,,,assoc:CO
Home Town Food Markets Pagosa Springs LLC,Pagosa Springs,CO,,,assoc:CO
HomeTown Food Markets,Antonito,CO,,,assoc:CO
HOTCHKISS MEATS INC,Hotchkiss,CO,,,assoc:CO
"Hudson Lockers, Inc.",Hudson,CO,,,assoc:CO
Indian Ridge Farm and Bakery,Norwood,CO,,,assoc:CO
JENSEN'S BLUE RIBBON PROCESSING,Fowler,CO,,,assoc:CO
KINIKIN PROCESSING LLC - RETAIL,Montrose,CO,,,assoc:CO
Kremmling Meat Market LLC,Kremmling,CO,,,assoc:CO
Lewis Wild Game Processing,Parker,CO,,,assoc:CO
LIZZY'S MARKET,Paonia,CO,,,assoc:CO
Logan's Processing,Loveland,CO,,,assoc:CO
"LUARK RANCH & OUTFITTERS, LLC",Burns,CO,,,assoc:CO
MEAT CLEAVER,Denver,CO,,,assoc:CO
MEL'S CUSTOM MEAT PROCESSING LLC,Romeo,CO,,,assoc:CO
Mike's Meat Market LLC,Sterling,CO,,,assoc:CO
MORENO SLAUGHTER,Strasburg,CO,,,assoc:CO
MOUNTAIN MEAT PACKING,Fruita,CO,,,assoc:CO
"Mountain Meat Packing, Inc.",Craig,CO,,,assoc:CO
NORTH PARK BIG GAME PROCESSING LLC,Walden,CO,,,assoc:CO
OLD WORLD MEAT,Grand Junction,CO,,,assoc:CO
ORCHARD MESA MARKET,Grand Junction,CO,,,assoc:CO
OTTEMAN'S INC,Flagler,CO,,,assoc:CO
P & M PROCESSING,Manzanola,CO,,,assoc:CO
PDA Big Game Processing,Del Norte,CO,,,assoc:CO
"PURKEY PACKING PLANT, LLC",MEEKER,CO,,,assoc:CO
"Quarter Circle Processing, LLC",Rush,CO,,,assoc:CO
R & C WILD GAME & CUSTOM PROCESSING,Fort Collins,CO,,,assoc:CO
RANCHO CORIMA,Strasburg,CO,,,assoc:CO
RANDY'S CUSTOM PROCESSING,Calhan,CO,,,assoc:CO
RAY'S CUSTOM MEAT PROCESSING,Canon City,CO,,,assoc:CO
RELIABLE BIG GAME PROCESSING,Fort Collins,CO,,,assoc:CO
RICK'S PROCESSING ROYAL GORGE PACKING,Canon City,CO,,,assoc:CO
ROCKY MOUNTAIN GENERAL STORE AND CUSTOM MEATS,Bayfield,CO,,,assoc:CO
ROCKY MOUNTAIN MEATS,Wheat Ridge,CO,,,assoc:CO
Rustic Cuts Inc.,Elizabeth,CO,,,assoc:CO
SANFORD PROCESSING,Sanford,CO,,,assoc:CO
SAUDER'S MEAT PROCESSING,Peyton,CO,,,assoc:CO
SAUSAGE BY GRIZZ,Colorado Springs,CO,,,assoc:CO
SAXX CUSTOM CUTTING,Brighton,CO,,,assoc:CO
"SCANGA MEAT COMPANY, INC",Salida,CO,,,assoc:CO
SCHAFER'S WILD GAME PROCESSING,Kiowa,CO,,,assoc:CO
SIMLA FROZEN FOOD LOCKERS LLC,Simla,CO,,,assoc:CO
STAGECOACH MEAT CO LLC,Wiggins,CO,,,assoc:CO
STAN'S SPECIALTY MEATS,Fort Collins,CO,,,assoc:CO
STEVE'S MEAT MARKET INC,Arvada,CO,,,assoc:CO
Steving Meats Co.,Kersey,CO,,,assoc:CO
SWITZER PROCESSING,Cortez,CO,,,assoc:CO
TED BAKER GAME PROC & CUSTOM CUTTING,Peyton,CO,,,assoc:CO
The Buck Stops Here,Pagosa Springs,CO,,,assoc:CO
The Prime Cut,Colorado Springs,CO,,,assoc:CO
"TY MEAT PROCESSING, LLC",Hudson,CO,,,assoc:CO
"TYMKOVICH MEATS, LLC",Denver,CO,,,assoc:CO
VALLEY MEAT & FOOD LLC,Alamosa,CO,,,assoc:CO
VALLEY PACKING & CATERING INC,La Salle,CO,,,assoc:CO
WILD CUTS LLC,Fort Morgan,CO,,,assoc:CO
WRAY MEAT PACKING,Wray,CO,,,assoc:CO
"Your Choice Meats, LLC",Wiggins,CO,,,assoc:CO
Zettlemoyer Custom Meat,Colorado Springs,CO,,,assoc:CO
Andrychowski E & J Farms,Windham,CT,860-423-4123,,assoc:CT
Baretta Provision,East Berlin,CT,860-828-0802,barettaprovision.com,assoc:CT
Bristol Beef Co.,Bristol,CT,860-589-9969,,assoc:CT
Latella and Sons,Orange,CT,203-932-3619,,assoc:CT
Litchfield Locker,Litchfield,CT,860-567-5448,,assoc:CT
Maurice's Country Meat Market,Canterbury,CT,860-546-9588,,assoc:CT
New England Meat Packing,Stafford Springs,CT,860-684-3505,,assoc:CT
Salem Prime Cuts,Salem,CT,860-859-0741,,assoc:CT
Stocker,Enfield,CT,860-749-4866,,assoc:CT
Tarzia Meat Packing Co.,New Milford,CT,860-354-4569,,assoc:CT
Apalachee Processing Company,Madison,GA,706-818-0747,,assoc:GA
B & M Processing,Chatsworth,GA,706-517-3680,,assoc:GA
Bond Deer Processing,Royston,GA,706-206-9429,,assoc:GA
Bradford Homes and Grounds,Lithonia,GA,770-605-6664,,assoc:GA
Buck & Boar,Midville,GA,478-763-3851,,assoc:GA
C & B Processing,Milledgeville,GA,478-454-2005,,assoc:GA
Capes Sausage Co.,Covington,GA,770-786-6540,,assoc:GA
Custom Deer Processing,Winder,GA,678-758-3926,,assoc:GA
Fender's Smokehouse,Lakeland,GA,229-482-3874,,assoc:GA
Firetower Meat Processing,Crawford,GA,706-746-5876,,assoc:GA
Fort Valley State University,Fort Valley,GA,478-825-6230,,assoc:GA
Georgia Best Processing,Fort Valley,GA,478-825-7664,,assoc:GA
"Georgia Mountain Processing, Inc.",Mt. Airy,GA,706-778-9446,,assoc:GA
Greg's Meat Processing,Comer,GA,706-795-3210,,assoc:GA
"Griffin Meats, Inc.",Blackshear,GA,912-449-5184,,assoc:GA
Grinder's Deer Processing,Cordele,GA,229-938-3477,,assoc:GA
Happy Valley Processing,Dearing,GA,706-595-3777,,assoc:GA
Jeffers Meat Processing Plant,Tallapoosa,GA,770-646-3213,,assoc:GA
Joe's Deer Shop,Tunnel Hill,GA,706-935-5300,,assoc:GA
Jones Country Meats,Climax,GA,229-246-3700,,assoc:GA
K J Livestock,Greensboro,GA,706-347-0557,,assoc:GA
"Kick's Meats, LLC",Nicholls,GA,912-345-0096,,assoc:GA
Knight's Butchering & Processing,Keysville,GA,706-554-3248,,assoc:GA
Lee's Meat Processing,Axson,GA,912-422-3079,,assoc:GA
Lumber City Meat Company,Lumber City,GA,912-363-4323,,assoc:GA
McAfee Packing Company,Wrightsville,GA,478-864-3385,,assoc:GA
McClure's Deer Processing,Blairsville,GA,706-781-7205,,assoc:GA
"McKimbells Clover, LLC",Griffin,GA,404-919-8185,,assoc:GA
"McLemore's Abattoir, Inc",Vidalia,GA,912-537-2080,,assoc:GA
Milltown Sausage Company,Lakeland,GA,229-482-2825,,assoc:GA
Mitchells Processing,LaFayette,GA,706-638-3271,,assoc:GA
Oak Valley Processing & Abattoir,Toccoa,GA,706-886-8556,,assoc:GA
Palmer's Meat Processing,Nicholson,GA,706-757-2227,,assoc:GA
"Peacock Meats, LLC",Cochran,GA,478-934-7518,,assoc:GA
Pete Lee Meats,Alma,GA,912-632-6621,,assoc:GA
Pittman Packing Company,Sharon,GA,706-456-2496,,assoc:GA
"Resaca Meat Processing, LLC",Resaca,GA,706-671-9730,,assoc:GA
S & S Processing,Jenkinsburg,GA,678-873-4945,,assoc:GA
Safety-Rite Food Bank,Tifton,GA,229-382-1242,,assoc:GA
Salem Farm,Covington,GA,404-993-1732,,assoc:GA
Savannah River Farms,Sylvania,GA,912-713-2368,,assoc:GA
"Sheriff's Meat Processing, LLC",Calhoun,GA,706-602-8010,,assoc:GA
Skillet Hollow Processing,Flintstone,GA,706-820-1324,,assoc:GA
Southern Pride Processing,Blairsville,GA,706-400-5508,,assoc:GA
The Butcher Block,Montezuma,GA,478-472-7662,,assoc:GA
The Meat Shed,Eatonton,GA,478-258-0019,,assoc:GA
The Steel Buffalo Butchery,Dawsonville,GA,706-216-2170,,assoc:GA
Thomas Deer Cooler,Bolingbroke,GA,478-994-9894,,assoc:GA
Thompson Farms,Dixie,GA,229-263-9074,,assoc:GA
Towson Cold Storage,Tifton,GA,229-382-1515,,assoc:GA
Twin Oaks Processing,Lula,GA,706-677-2167,,assoc:GA
UGA Animal Science,Athens,GA,706-542-4347,,assoc:GA
"Wainright, W. J. & Son, Inc",Nahunta,GA,912-462-5593,,assoc:GA
Waldrep's Meat Processing,Ellijay,GA,706-636-1711,,assoc:GA
West Georgia Processing,Carrolton,GA,770-832-0045,,assoc:GA
Whiddon Deer Processing,Leary,GA,229-792-9300,,assoc:GA
White Oak Pastures,Bluffton,GA,229-641-2081,,assoc:GA
"Yorks Country Meats, LLC",Barnesville,GA,770-358-1417,,assoc:GA
Zollar Custom Processing,Springfield,GA,912-754-9541,,assoc:GA
'Ohana Cattle Company / Hawaii Meats LLC,,HI,808-682-2595,,assoc:HI
Hawaii Island Meat Cooperative,,HI,808-776-1870,,assoc:HI
Mahi Pono LLC,,HI,808-822-4848,,assoc:HI
Sanchez Slaughterhouse,,HI,808-856-4550,,assoc:HI
Al's Country Meat Locker,Calmar,IA,(563) 380-4015,,assoc:IA
Amana Meat Shop & Smokehouse,Amana,IA,(800) 373-6328,,assoc:IA
Andover Meat Inc.,Andover,IA,(563) 682-7757,,assoc:IA
Anita Meat Processing,,IA,(712) 762-3645,,assoc:IA
Arcadia Meats,Arcadia,IA,(712) 689-2435,,assoc:IA
Atlantic Locker,Atlantic,IA,(712) 243-1941,,assoc:IA
Babcock Locker,Sheldon,IA,(712) 631-4295,,assoc:IA
"Bud's Custom Meats, Inc.",Riverside,IA,(319) 648-3999,,assoc:IA
Clarion Locker,Clarion,IA,(515) 532-2350,,assoc:IA
"Corning Meat Processing Services, Inc",Corning,IA,(641) 322-3614,,assoc:IA
Corwith Locker,Corwith,IA,(515) 583-2205,,assoc:IA
Country Cut Meats,Pulaski,IA,(641) 675-3683,,assoc:IA
Dan's Locker,Earlville,IA,(563) 923-2515,,assoc:IA
Dayton Meat Products,Malcom,IA,(641) 528-3420,,assoc:IA
Deerfield Locker,Alta Vista,IA,(641) 364-2925,,assoc:IA
Durant Locker,Durant,IA,(563) 785-4854,,assoc:IA
Edgewood Locker,Edgewood,IA,(563) 928-6814,,assoc:IA
Elma Locker & Grocery,Elma,IA,(641) 393-2287,,assoc:IA
Fairbank Locker,Fairbank,IA,(319) 635-2595,,assoc:IA
Friedrichsen Meat Company,Sutherland,IA,(712) 446-2102,,assoc:IA
George Locker BPLLC,George,IA,(712) 475-3218,,assoc:IA
Gilbertville Locker,Gilbertville,IA,(319) 296 1464,,assoc:IA
"Graziano Brothers, Inc.",Des Moines,IA,(515) 244-7103,,assoc:IA
Hastings Meat Processing,Bloomfield,IA,(641) 664-2195,,assoc:IA
Hilltop Processing,Seymour,IA,,,assoc:IA
In't Veld's Meat Market/Butcher's Brewhuis,Pella,IA,(641) 628-3440,,assoc:IA
Ireton Locker,Ireton,IA,(712) 278-2060,,assoc:IA
ISU Meat Laboratory,Ames,IA,(515) 294-4355,,assoc:IA
J & J Custom Meats,Whittemore,IA,(515) 884-1014,,assoc:IA
Jet's Meat Processing,Waukon,IA,(563) 568-2403,,assoc:IA
Jordan's Meat Market,Marcus,IA,(712) 376-1040,,assoc:IA
Keota Meat Processing,Keota,IA,(641) 636-2303,,assoc:IA
Kitt's Meat Processing LLC,Dedham,IA,(712) 683-5622,,assoc:IA
"Leighton Processed Meats, Inc.",Leighton,IA,(641) 626-3211,,assoc:IA
Lynch BBQ Company,,IA,,,assoc:IA
Marks Locker,Rowley,IA,(319) 938-2844,,assoc:IA
Martzahn Poultry Processing,Greene,IA,(641) 823-5362,,assoc:IA
Mikes Meats,Knoxville,IA,(641) 218-8349,,assoc:IA
Milo Locker,Milo,IA,641-942-6231,,assoc:MO
Milo Locker Meats,Milo,IA,(641) 942-6231,,assoc:IA
Minden Meat Market,Minden,IA,(712) 483-2836,,assoc:IA
"Mingo Locker, L.L.C.",Mingo,IA,(641) 363-4284,,assoc:IA
Moravia Meat Locker,Moravia,IA,(641) 724-3336,,assoc:IA
"Nelson Locker, LLC",Hartley,IA,(712) 728-2860,,assoc:IA
Nelson's Meat Market,Cedar Rapids,IA,(319) 393-8161,,assoc:IA
Newhall Locker & Processing,Newhall,IA,(319) 223-5202,,assoc:IA
Nimrod Meats,Iowa Falls,IA,(641) 640-0356,,assoc:IA
Ohrt's Smokehouse LLC,Ionia,IA,(641) 394-5062,,assoc:IA
Old Parlor Meat Company,Rock Valley,IA,(712) 470-9519,,assoc:IA
Old Station Craft Meats,Waukee,IA,(515) 452-0150,,assoc:IA
Polashek's Locker Service Inc.,Protivin,IA,(563) 569-8774,,assoc:IA
Remsen Processing Inc.,Remsen,IA,(712) 786-1197,,assoc:IA
Ridgeport Locker,Boone,IA,(515) 432-8973,,assoc:IA
Rockdale Locker LLC,Maquoketa,IA,(563) 659-7675,,assoc:IA
Ruzicka's Meat Processing,Solon,IA,(319) 624-2870,,assoc:IA
S&S Meats and Spirits,Osage,IA,(641) 732-4792,,assoc:IA
Sawyer's Meats of Iowa,Fort Dodge,IA,(515) 576-5331,,assoc:IA
Skoglund Meats,West Bend,IA,(515) 887-4531,,assoc:IA
Stanhope Locker & Market,,IA,(515) 826-3280,,assoc:IA
Steege's Meat Market,Cedar Falls,IA,(319) 277-4577,,assoc:IA
Story City Locker,Story City,IA,(515) 733-6328,,assoc:IA
Sully Locker & Market,Sully,IA,(641) 594-4240,,assoc:IA
TADA Meats,Maquoketa,IA,(563) 249-6471,,assoc:IA
The Blair Meat Market,,IA,(402) 426-3300,,assoc:IA
The Butcher Block,Cascade,IA,(563) 852-7677,,assoc:IA
Tiefenthaler Quality Meats,Holstein,IA,(712) 368-4621,,assoc:IA
Tipton Meat Locker,Tipton,IA,(563) 886-2106,,assoc:IA
Trails End Butchering,Seymour,IA,(641) 898-2288,,assoc:IA
Ulrich Meat Market,Pella,IA,(641) 628-2771,,assoc:IA
Weaver Meats,Afton,IA,(641) 344-4337,,assoc:IA
West Liberty Locker & Processing,West Liberty,IA,(319) 627-4060,,assoc:IA
Winthrop Locker LLC,West Winthrop,IA,(319) 935-3886,,assoc:IA
Yetter Locker,Yetter,IA,(712) 688-2233,,assoc:IA
Zeb's Smokehouse,Bedford,IA,(712) 523-2526,,assoc:IA
Abe's Kosher Meats,Burley,ID,,,assoc:ID
B&D Foods,Boise,ID,,,assoc:ID
Butcher Block Custom Cutting,Gooding,ID,,,assoc:ID
Capitol Kitchen,Caldwell,ID,,,assoc:ID
CS Beef Packers,Kuna,ID,,,assoc:ID
CTI Foods,Wilder,ID,,,assoc:ID
Doug's Wholesale Meats,Shelley,ID,,,assoc:ID
"Fish Processors, Inc.",Hagerman,ID,,,assoc:ID
Gentleman Sausages,Coeur d'Alene,ID,,,assoc:ID
Grand Peaks Prime Meats,Idaho Falls,ID,,,assoc:ID
Greenfield Custom Meat,Meridian,ID,,,assoc:ID
Greenfield Custom Meats,Meridian,ID,,greenfieldcustommeat.com,assoc:MT
Happy Hog Meatery,Moscow,ID,,,assoc:ID
Hoagland Meats,Homedale,ID,,,assoc:ID
Ida Meats,Rupert,ID,,,assoc:ID
